Date,standpoint--backtest
4/30/2006,0.032695208
5/31/2006,-0.03241691
6/30/2006,-0.001997223
7/31/2006,-0.0335816
8/31/2006,0.026792735
9/30/2006,0.0374144
10/31/2006,0.031324764
11/30/2006,0.008626661
12/31/2006,0.035031557
1/31/2007,0.011508117
2/28/2007,-0.011870374
3/31/2007,-0.01261055
4/30/2007,0.033057158
5/31/2007,0.040459658
6/30/2007,0.006946094
7/31/2007,-0.033180109
8/31/2007,-0.028976451
9/30/2007,0.054251886
10/31/2007,0.056652605
11/30/2007,-0.006945114
12/31/2007,0.00890147
1/31/2008,-0.008007226
2/29/2008,0.038583794
3/31/2008,-0.002320207
4/30/2008,0.008536126
5/31/2008,0.029507994
6/30/2008,0.003195098
7/31/2008,-0.060822195
8/31/2008,-0.02804873
9/30/2008,-0.03094851
10/31/2008,0.00276765
11/30/2008,0.009107011
12/31/2008,0.028823156
1/31/2009,-0.029623439
2/28/2009,-0.028606609
3/31/2009,0.026841508
4/30/2009,0.032898076
5/31/2009,0.014207004
6/30/2009,-0.009294564
7/31/2009,0.041219631
8/31/2009,0.034546296
9/30/2009,0.019544821
10/31/2009,-0.015932979
11/30/2009,0.041499142
12/31/2009,-0.017109289
1/31/2010,-0.032463293
2/28/2010,0.016859988
3/31/2010,0.054901884
4/30/2010,0.011981112
5/31/2010,-0.062874427
6/30/2010,-0.012388305
7/31/2010,0.014247837
8/31/2010,0.023055382
9/30/2010,0.044621039
10/31/2010,0.03662995
11/30/2010,-0.02914495
12/31/2010,0.059404417
1/31/2011,0.02499651
2/28/2011,0.040769238
3/31/2011,-0.003415282
4/30/2011,0.048731801
5/31/2011,-0.044288562
6/30/2011,-0.044598479
7/31/2011,0.03020691
8/31/2011,-0.016806048
9/30/2011,-0.009425963
10/31/2011,0.009386477
11/30/2011,0.006775444
12/31/2011,0.02311196
1/31/2012,0.023417248
2/29/2012,0.012529777
3/31/2012,0.004954124
4/30/2012,-0.000626149
5/31/2012,-0.032531715
6/30/2012,-0.002126107
7/31/2012,0.019525142
8/31/2012,0.006125869
9/30/2012,-0.008345442
10/31/2012,-0.018100984
11/30/2012,0.012354172
12/31/2012,0.006378437
1/31/2013,0.055183993
2/28/2013,-0.007009458
3/31/2013,0.028365556
4/30/2013,0.024654519
5/31/2013,-0.006127868
6/30/2013,-0.004463264
7/31/2013,0.031470818
8/31/2013,-0.013904092
9/30/2013,0.012520721
10/31/2013,0.022474073
11/30/2013,0.016483174
12/31/2013,0.022081856
1/31/2014,-0.042454132
2/28/2014,0.028828115
3/31/2014,0.00161991
4/30/2014,0.023970455
5/31/2014,0.023713358
6/30/2014,0.017443375
7/31/2014,-0.024009879
8/31/2014,0.048451378
9/30/2014,0.00445003
10/31/2014,0.015662763
11/30/2014,0.06283019
12/31/2014,0.031138332
1/31/2015,0.022761586
2/28/2015,0.012386019
3/31/2015,0.00994496
4/30/2015,-0.018352345
5/31/2015,0.009991695
6/30/2015,-0.022915872
7/31/2015,0.028520814
8/31/2015,-0.06364644
9/30/2015,0.004409434
10/31/2015,0.017886215
11/30/2015,0.024606611
12/31/2015,0.01622346
1/31/2016,-0.006919358
2/29/2016,0.01352039
3/31/2016,0.012104951
4/30/2016,-0.016445565
5/31/2016,0.007644698
6/30/2016,0.043110308
7/31/2016,0.023029468
8/31/2016,-0.010967189
9/30/2016,0.004643309
10/31/2016,-0.040015505
11/30/2016,0.022325576
12/31/2016,0.023683018
1/31/2017,0.000235445
2/28/2017,0.020076374
3/31/2017,-0.007377847
4/30/2017,0.001582969
5/31/2017,0.010665914
6/30/2017,-0.006707468
7/31/2017,0.001042122
8/31/2017,0.005352487
9/30/2017,0.001922819
10/31/2017,0.031630872
11/30/2017,0.022697104
12/31/2017,0.026700292
1/31/2018,0.05627304
2/28/2018,-0.056252205
3/31/2018,-0.008425522
4/30/2018,0.028933622
5/31/2018,-0.006955542
6/30/2018,0.00932297
7/31/2018,0.001296661
8/31/2018,0.021628203
9/30/2018,0.006269948
10/31/2018,-0.072554335
11/30/2018,0.018366754
12/31/2018,-0.018889089
1/31/2019,0.012549202
2/28/2019,-0.010414769
3/31/2019,0.056794832
4/30/2019,0.00885599
5/31/2019,-0.007120996
6/30/2019,0.064591279
7/31/2019,0.01720105
8/31/2019,0.041995771
9/30/2019,-0.012349294
10/31/2019,0.00356743
11/30/2019,0.005536465
12/31/2019,0.023345529
