Date,AvgReturn-dunn-capital-management--wma-program,AvgReturn-eckhardt-trading-company--evolution-strategy,AvgReturn-mak-capital--one-fund,AvgReturn-tim--trend-2,AvgReturn-winton-capital--futures-program,RankLabel-AvgReturn-dunn-capital-management--wma-program,Rank-AvgReturn-dunn-capital-management--wma-program,RankN-AvgReturn-dunn-capital-management--wma-program,RankLabel-AvgReturn-eckhardt-trading-company--evolution-strategy,Rank-AvgReturn-eckhardt-trading-company--evolution-strategy,RankN-AvgReturn-eckhardt-trading-company--evolution-strategy,RankLabel-AvgReturn-mak-capital--one-fund,Rank-AvgReturn-mak-capital--one-fund,RankN-AvgReturn-mak-capital--one-fund,RankLabel-AvgReturn-tim--trend-2,Rank-AvgReturn-tim--trend-2,RankN-AvgReturn-tim--trend-2,RankLabel-AvgReturn-winton-capital--futures-program,Rank-AvgReturn-winton-capital--futures-program,RankN-AvgReturn-winton-capital--futures-program
1995-07-31,0.015558139534883721,0.0223375,,0.07605666666666666,,2ndQ,1,"(0.0155, 0.0164]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-08-31,0.016858461538461537,0.021214285714285717,,0.07200967741935484,,3rdQ,2,"(0.0164, 0.0181]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-09-30,0.01623206106870229,0.02023,,0.07156875,,2ndQ,1,"(0.0155, 0.0164]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-10-31,0.016928787878787876,0.01873921568627451,,0.06633636363636364,,3rdQ,2,"(0.0164, 0.0181]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-11-30,0.017640601503759398,0.02015576923076923,,0.06983529411764706,,3rdQ,2,"(0.0164, 0.0181]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1995-12-31,0.017840298507462687,0.022230188679245283,,0.07495142857142857,,3rdQ,2,"(0.0164, 0.0181]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-01-31,0.018877037037037036,0.023433333333333334,,0.07356388888888889,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-02-29,0.017758088235294116,0.022025454545454546,,0.07078648648648649,,3rdQ,2,"(0.0164, 0.0181]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-03-31,0.018325547445255476,0.022096428571428572,,0.06932105263157895,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-04-30,0.018857246376811593,0.02477543859649123,,0.07156410256410256,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-05-31,0.018636690647482013,0.022748275862068967,,0.0664075,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-06-30,0.01854642857142857,0.0218,,0.0662951219512195,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-07-31,0.017535460992907804,0.020723333333333333,,0.06502857142857142,,3rdQ,2,"(0.0164, 0.0181]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-08-31,0.017045774647887323,0.02018688524590164,,0.06292790697674418,,3rdQ,2,"(0.0164, 0.0181]",3rdQ,2.0,"(0.0168, 0.021]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-09-30,0.017804195804195802,0.022691935483870967,,0.06537727272727273,,3rdQ,2,"(0.0164, 0.0181]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-10-31,0.01908888888888889,0.024909523809523812,,0.06154888888888888,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-11-30,0.020815172413793104,0.02630625,,0.06093695652173913,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1996-12-31,0.02018698630136986,0.025053846153846156,,0.058574468085106385,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1997-01-31,0.021262585034013605,0.026592424242424244,,0.05530625,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1997-02-28,0.021108783783783783,0.02722686567164179,,0.05535510204081633,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1997-03-31,0.021115436241610736,0.027797058823529414,,0.055526,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",,,
1997-04-30,0.020543333333333334,0.02757391304347826,,0.054190196078431375,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,3rdQ,2.0,"(0.0438, 0.055]",,,
1997-05-31,0.020017880794701987,0.02745,,0.053932692307692306,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,3rdQ,2.0,"(0.0438, 0.055]",,,
1997-06-30,0.02056907894736842,0.027822535211267607,,0.05227358490566037,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,3rdQ,2.0,"(0.0438, 0.055]",,,
1997-07-31,0.02153529411764706,0.028711111111111114,,0.05288518518518518,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,3rdQ,2.0,"(0.0438, 0.055]",,,
1997-08-31,0.020732467532467533,0.027754794520547944,,0.05231636363636363,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,3rdQ,2.0,"(0.0438, 0.055]",,,
1997-09-30,0.02101483870967742,0.02825945945945946,,0.05464464285714286,,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,3rdQ,2.0,"(0.0438, 0.055]",,,
1997-10-31,0.020839102564102565,0.027828,,0.057833333333333334,-0.1297,4thQ,3,"(0.0181, 0.0583]",4thQ,3.0,"(0.021, 0.0718]",,,,4thQ,3.0,"(0.055, 0.312]",1stQ,0.0,"(-0.131, 0.0116]"
